id,ts,light_intensity,ambient_temperature,soil_moisture,lat,lon,humidity
84,2025-04-10 20:12:52,1.12772,31.44,50.28,13.8657,100.462,79.0
85,2025-04-10 20:42:52,1.13074,31.38,50.62,13.8657,100.462,79.0
86,2025-04-10 21:12:52,1.08554,31.31,50.53,13.8657,100.462,79.0
87,2025-04-10 21:42:52,1.0586,31.16,50.4,13.8657,100.462,61.0
88,2025-04-10 22:12:52,1.02288,31.38,50.5,13.8657,100.462,79.0
89,2025-04-10 22:42:52,0.983702,31.16,50.5,13.8657,100.462,79.0
90,2025-04-10 23:12:51,1.01102,31.12,50.77,13.8657,100.462,79.0
91,2025-04-10 23:42:51,0.943769,30.97,50.87,13.8657,100.462,62.0
92,2025-04-11 00:12:51,0.986789,30.88,50.53,13.8657,100.462,83.0
93,2025-04-11 00:42:51,0.937656,30.72,50.4,13.8657,100.462,83.0
94,2025-04-11 01:12:51,0.959086,30.62,50.35,13.8657,100.462,83.0
95,2025-04-11 01:42:51,0.919369,30.59,50.45,13.8657,100.462,83.0
96,2025-04-11 02:12:51,0.913291,30.62,50.67,13.8657,100.462,83.0
97,2025-04-11 02:42:51,0.89208,30.5,50.38,13.8657,100.462,83.0
98,2025-04-11 03:12:51,0.886038,30.47,50.65,13.8657,100.462,83.0
99,2025-04-11 03:42:51,0.913291,30.5,50.38,13.8657,100.462,83.0
100,2025-04-11 04:12:51,0.889058,30.62,50.7,13.8657,100.462,89.0
101,2025-04-11 04:42:51,0.87398,30.66,51.18,13.8657,100.462,89.0
102,2025-04-11 05:12:51,0.89208,30.31,51.48,13.8657,100.462,89.0
103,2025-04-11 05:42:51,0.928503,30.12,51.11,13.8657,100.462,94.0
104,2025-04-11 06:12:51,16.7125,29.94,51.14,13.8657,100.462,94.0
105,2025-04-11 06:42:51,166.163,30.12,51.11,13.8657,100.462,94.0
106,2025-04-11 07:12:51,278.961,30.34,50.74,13.8657,100.462,94.0
107,2025-04-11 07:42:51,703.554,30.72,51.18,13.8657,100.462,94.0
108,2025-04-11 08:12:51,513.463,31.0,50.43,13.8657,100.462,91.0
109,2025-04-11 08:42:51,1288.4,32.16,50.87,13.8657,100.462,55.0
110,2025-04-11 09:12:51,2528.65,34.66,51.16,13.8657,100.462,90.0
111,2025-04-11 09:42:51,3539.91,37.16,51.16,13.8657,100.462,57.0
112,2025-04-11 10:12:51,2808.2,37.06,50.62,13.8657,100.462,84.0
113,2025-04-11 10:42:51,4660.87,40.03,52.38,13.8657,100.462,66.0
114,2025-04-11 11:12:51,3425.24,39.62,51.58,13.8657,100.462,70.0
115,2025-04-11 11:42:51,4660.87,41.06,52.67,13.8657,100.462,62.0
116,2025-04-11 12:12:50,3248.75,40.5,52.11,13.8657,100.462,66.0
117,2025-04-11 12:42:50,4470.99,40.69,52.43,13.8657,100.462,58.0
118,2025-04-11 13:12:50,2278.83,40.41,51.21,13.8657,100.462,58.0
119,2025-04-11 13:42:50,8089.19,41.56,23.52,13.8657,100.462,46.0
120,2025-04-11 14:12:50,3837.29,39.81,52.19,13.8657,100.462,46.0
121,2025-04-11 14:42:50,2296.41,40.09,51.79,13.8657,100.462,57.0
122,2025-04-11 15:12:50,2970.36,38.69,52.01,13.8657,100.462,48.0
123,2025-04-11 15:42:50,1552.21,38.31,51.38,13.8657,100.462,58.0
124,2025-04-11 16:12:50,1143.63,37.0,51.94,13.8657,100.462,50.0
125,2025-04-11 16:42:50,405.752,35.91,51.94,13.8657,100.462,50.0
126,2025-04-11 17:12:50,216.581,34.81,51.16,13.8657,100.462,51.0
127,2025-04-11 17:42:50,631.125,34.56,51.11,13.8657,100.462,52.0
128,2025-04-11 18:12:50,39.9615,33.56,50.43,13.8657,100.462,54.0
129,2025-04-11 18:16:06,22.5552,33.47,50.84,13.8657,100.462,54.0
130,2025-04-11 18:46:06,1.44174,32.91,50.04,13.8657,100.462,66.0
131,2025-04-11 19:16:06,1.1977,32.59,49.6,13.8657,100.462,66.0
132,2025-04-11 19:46:06,1.15804,32.47,49.52,13.8657,100.462,74.0
133,2025-04-11 20:16:06,1.155,32.38,49.62,13.8657,100.462,74.0
134,2025-04-11 20:46:06,1.14286,32.34,49.62,13.8657,100.462,74.0
135,2025-04-11 21:16:06,1.07955,32.41,49.55,13.8657,100.462,74.0
136,2025-04-11 21:46:05,1.02288,32.25,49.08,13.8657,100.462,74.0
137,2025-04-11 22:16:05,1.04965,32.16,49.87,13.8657,100.462,74.0
138,2025-04-11 22:46:05,0.983702,32.03,49.62,13.8657,100.462,74.0
139,2025-04-11 23:16:05,0.983702,31.84,49.35,13.8657,100.462,74.0
140,2025-04-11 23:46:05,0.940711,31.66,49.08,13.8657,100.462,79.0
141,2025-04-12 00:16:05,0.913291,31.47,50.16,13.8657,100.462,79.0
142,2025-04-12 00:46:05,0.895104,31.16,49.21,13.8657,100.462,74.0
143,2025-04-12 01:16:05,0.889058,31.0,49.21,13.8657,100.462,79.0
144,2025-04-12 01:46:05,0.883021,30.94,48.79,13.8657,100.462,79.0
145,2025-04-12 02:16:05,0.904188,30.75,49.21,13.8657,100.462,79.0
146,2025-04-12 02:46:05,0.886038,30.66,48.99,13.8657,100.462,79.0
147,2025-04-12 03:16:05,0.895104,30.56,49.13,13.8657,100.462,84.0
148,2025-04-12 03:46:05,0.886038,30.44,49.38,13.8657,100.462,89.0
149,2025-04-12 04:16:05,0.895104,30.31,49.11,13.8657,100.462,89.0
150,2025-04-12 04:46:05,0.901159,30.19,48.82,13.8657,100.462,89.0
151,2025-04-12 05:16:05,0.907221,30.09,48.94,13.8657,100.462,89.0
152,2025-04-12 05:46:05,1.07655,29.84,49.35,13.8657,100.462,89.0
153,2025-04-12 06:16:05,57.3945,29.81,48.82,13.8657,100.462,89.0
154,2025-04-12 06:46:05,409.523,30.38,49.45,13.8657,100.462,89.0
155,2025-04-12 07:16:05,765.997,31.22,48.6,13.8657,100.462,89.0
156,2025-04-12 07:46:05,1009.27,32.0,48.55,13.8657,100.462,63.0
157,2025-04-12 08:16:05,1174.38,32.84,48.5,13.8657,100.462,74.0
158,2025-04-12 08:46:05,1461.91,34.09,48.67,13.8657,100.462,54.0
159,2025-04-12 09:16:05,2085.62,35.56,48.21,13.8657,100.462,52.0
160,2025-04-12 09:46:05,4079.68,37.88,47.55,13.8657,100.462,52.0
161,2025-04-12 10:16:05,5889.98,41.06,47.89,13.8657,100.462,50.0
162,2025-04-12 10:46:04,5889.98,41.12,48.35,13.8657,100.462,50.0
163,2025-04-12 11:16:04,5507.02,41.66,20.12,13.8657,100.462,49.0
164,2025-04-12 11:46:04,5993.61,41.47,49.6,13.8657,100.462,49.0
165,2025-04-12 12:16:04,4532.65,41.09,48.5,13.8657,100.462,48.0
166,2025-04-12 12:46:04,3747.7,41.47,48.3,13.8657,100.462,52.0
167,2025-04-12 13:16:04,4131.61,40.47,47.99,13.8657,100.462,45.0
168,2025-04-12 13:46:04,4796.03,40.81,47.99,13.8657,100.462,45.0
169,2025-04-12 14:16:04,3182.8,41.38,48.35,13.8657,100.462,36.0
170,2025-04-12 14:46:04,2466.65,39.84,48.03,13.8657,100.462,44.0
171,2025-04-12 15:16:04,3182.8,40.62,49.65,13.8657,100.462,44.0
172,2025-04-12 15:46:04,2100.56,38.25,48.74,13.8657,100.462,44.0
173,2025-04-12 16:16:04,2013.75,37.75,47.77,13.8657,100.462,45.0
174,2025-04-12 16:46:04,1518.24,37.03,47.96,13.8657,100.462,45.0
175,2025-04-12 17:16:04,1033.84,36.22,47.77,13.8657,100.462,46.0
176,2025-04-12 17:46:04,459.262,35.25,47.47,13.8657,100.462,52.0
177,2025-04-12 18:16:04,85.4463,34.28,47.72,13.8657,100.462,47.0
178,2025-04-12 18:46:04,1.63022,33.53,47.77,13.8657,100.462,49.0
179,2025-04-12 19:16:04,1.23149,33.16,47.35,13.8657,100.462,49.0
180,2025-04-12 19:46:04,1.22225,32.91,48.01,13.8657,100.462,55.0
181,2025-04-12 20:16:04,1.14286,32.69,48.16,13.8657,100.462,58.0
182,2025-04-12 20:46:04,1.16717,32.47,48.01,13.8657,100.462,58.0
183,2025-04-12 21:16:04,1.09756,32.31,48.03,13.8657,100.462,58.0
184,2025-04-12 21:46:04,1.10659,32.09,47.96,13.8657,100.462,62.0
185,2025-04-12 22:16:04,1.01102,32.0,47.96,13.8657,100.462,62.0
186,2025-04-12 22:46:04,1.00215,31.91,48.35,13.8657,100.462,66.0
187,2025-04-12 23:16:04,0.928503,31.81,47.99,13.8657,100.462,66.0
188,2025-04-12 23:46:04,0.983702,31.75,47.72,13.8657,100.462,74.0
189,2025-04-13 00:16:03,0.919369,31.53,48.3,13.8657,100.462,79.0
190,2025-04-13 00:46:03,0.904188,31.38,47.99,13.8657,100.462,74.0
191,2025-04-13 01:16:03,0.962155,31.31,48.21,13.8657,100.462,84.0
192,2025-04-13 01:46:03,0.89208,31.19,47.96,13.8657,100.462,84.0
193,2025-04-13 02:16:03,0.904188,31.03,48.08,13.8657,100.462,84.0
194,2025-04-13 02:46:03,0.889058,30.97,48.03,13.8657,100.462,84.0
195,2025-04-13 03:16:03,0.886038,30.88,47.67,13.8657,100.462,84.0
196,2025-04-13 03:46:03,0.880005,30.81,47.62,13.8657,100.462,89.0
197,2025-04-13 04:16:03,0.876992,30.72,48.06,13.8657,100.462,89.0
